initial,algorithm,heuristic,bound,final,explored,time
200060000007004086000001300000000040090000000480000710900078000000050002020600501,best_first_graph_search,<lambda>,10000,214867459337594186866591327552716943191385268486926715915278634643159872728643591,2,2.877054
009000700000800006230910004002008007300000020900040000198634275000281040000795108,best_first_graph_search,<lambda>,10000,849563712571822396236917584612358437354176829987346651198634275765281943423795168,1,2.246654
406010000020000100500207000600001800000030509080000300030060217000000050000350408,best_first_graph_search,<lambda>,10000,496515722727643185518297643653921874274838569989575361835469217274184956161352498,1,2.0474069999999998
627189453400637209000542607002900364000000598000000172700200941215794836946813725,best_first_graph_search,<lambda>,10000,627189453451637289893542617582971364174326598369458172738265941215794836946813725,1,1.5275630000000007
000000000050930000000042000206000010004860090190000030508100076000000053001004000,best_first_graph_search,<lambda>,10000,942615387657938241813742965286359714734861592195427638528193476479286153361574829,1,2.001151
070604030005003090002000000000000000090720000300008906080501000004007520010000700,best_first_graph_search,<lambda>,10000,179684235845173694862975614756319482498726153321458976687591349934867521513242768,1,1.7362110000000008
039010000000073080748000105005000008001900000360000000024000009000080320000001800,best_first_graph_search,<lambda>,10000,639815742512473986748692135295134678481967253367258491824736519176589324953241867,1,0.9196270000000002
840000001070000400000000050000000504003604010000000609400902000900851000205007008,best_first_graph_search,<lambda>,10000,842363791379515486169248753768199524593624817724188639487932165936851272215467948,2,0.9100289999999998
004100060061000057002000004009000000028309000057000089005010300806007000003056000,best_first_graph_search,<lambda>,10000,794125968361894257582763114649581773628379545157642289275418396816937522913256841,3,3.1225320000000014
080701000001000090730500041070000006205003000800000730000000500000150600000620004,best_first_graph_search,<lambda>,10000,982741365541336892736592841379814256265973418814265739627489573428159673153627984,1,0.8354379999999999
008070000000190300000060207502010000300080070000020630000051940100030508600040700,best_first_graph_search,<lambda>,10000,238375419475192386931468257562713894349586172781924635827651943194237568653849721,2,1.4476829999999978
085040900000000000029350000310000060050401000047090010060000000090030570000120800,best_first_graph_search,<lambda>,10000,185742936473819652429356187312585764856471299647293318561987423298634571534127846,2,1.449669
080060024005102000000050800000090000000000150340000680070200090000008301050009070,best_first_graph_search,<lambda>,10000,181963524495182736236457819517696243762844153349521687673215498924778361858319472,1,1.4495180000000012
000000070710000200843672951050040080930000020000080603000000002000864000001003006,best_first_graph_search,<lambda>,10000,625491378719435268843672951252146789938756124477289613366517842329864597581923846,1,1.2281929999999974
000000000000904000094006020070050060009080000002003504000070040000000036780000000,best_first_graph_search,<lambda>,10000,618527499527934681394816725473159268159482373862793514231675148945248136786361952,2,2.1106729999999985
000001600400080003050060001020000800000020010900700065080205079000007080090040006,best_first_graph_search,<lambda>,10000,239471698461589723857362441324156847576928417918734265683215479145697382792843156,1,1.4444620000000015
020070108000800000005004000002000300108037902047000000506001000089025004000008000,best_first_graph_search,<lambda>,10000,423679158971853426865214793692586347158437962347192581536741829789325614214968735,1,2.033303
000050090650090040400700060009030056000201070003000024000002010006000080040609030,best_first_graph_search,<lambda>,10000,738456291657193842491728563229837156564241378183567924975382615916375482842619737,2,2.300391999999995
200080070008002000000050010040000708000000500003400090060000007901300000000071630,best_first_graph_search,<lambda>,10000,256984374438712956497657812549133768612898543783465291365849127971326485824571639,2,2.156828999999995
900700500000600040800000039000173000003060070006000200009000000000400605001052400,best_first_graph_search,<lambda>,10000,932784561157639842864521739248173956593268174716945283459816327328497615671352498,1,1.2645780000000002
006001007102005060000730000003800009000024183000000075080000200007040000500010000,best_first_graph_search,<lambda>,10000,396281547172495368845736912413857629769524183218369475981673254337642891524918736,1,2.2837239999999994
000052000800040500032070000000930004060020080000760100480090000251380007079510802,best_first_graph_search,<lambda>,10000,946152378817643599532879416128935764765421983394768125483297651251386447679514832,1,1.194972
603020050080000004001095060004000003090018000000600900200700000000000040005000801,best_first_graph_search,<lambda>,10000,673824159589176234421395768814952673796318425352647918248731596167589342935462871,1,0.9119420000000034
900034700000000030000080020680150000090603000007000900201000800000000467000700002,best_first_graph_search,<lambda>,10000,965234781745216539315587629683152374194673285527848916271469853859321467438765192,1,1.0939249999999987
900105000050000060100380020041036080002000000000020057000050000090000500600200310,best_first_graph_search,<lambda>,10000,968145738358742761174389925741536289532978146836924157417853692493861572685297314,1,0.8412910000000053
000090200000400030000007050290060000000001000100003004004020080907000046006300000,best_first_graph_search,<lambda>,10000,431596278879452631662837459298764513743281962175283964314629785987115346526348191,2,0.8836769999999987
000000100000009070615087000000006000000300009570020010000030086790040523800000000,best_first_graph_search,<lambda>,10000,287463195348159672615287434933816252122375269576924318454732986791648523863591747,1,1.4446709999999996
000000800740200539000040016000570000260000304008000000003001000105380060680000000,best_first_graph_search,<lambda>,10000,556739842741216539329845716914573628267198354938624671473961285195382467682457193,1,1.3045170000000041
003008195500001784000004326060000800005000060800002007000300000700059603080000200,best_first_graph_search,<lambda>,10000,643228195526931784971574326167495832195783462834162957459316578712859643389446271,1,1.3196689999999975
000572090060900200005600001270861000000754006006239400800496570000300000000105040,best_first_graph_search,<lambda>,10000,188572394463918257725643381274861935339754816586239417812496573654387129997125648,1,1.603787000000004
000060001009003070008070090000100200600000004020006710200381000493657128000942000,best_first_graph_search,<lambda>,10000,372568441549213876168574392785194263631725984924836715257381659493657128816942637,2,1.097477000000005
003205076005000000700001900482000010376514289591020000000000040000068003000042100,best_first_graph_search,<lambda>,10000,913285876645979321728431955482696517376514289591327464267153742254168793839742198,1,1.619652000000002
000080009502907000000014000000406008047000000060000300006003000000201050104809060,best_first_graph_search,<lambda>,10000,471682539582937446639514287315426978247398615968175342856743121793261854124859763,2,0.9198570000000004
500008090020041000001030000040300800005400063007005000900200745000100006070000900,best_first_graph_search,<lambda>,10000,536728394729641578881639572142362857295477163367815429913286745454193286678554931,1,1.6849550000000022
050010007401000900000060205000000800015000000027500091090002000700940000000050680,best_first_graph_search,<lambda>,10000,256818467471235968378467235939721854815399726627584391196672543783946512242153689,1,1.270935999999999
000009040050040290700000010100700982009080457000004361000500120000090030003006074,best_first_graph_search,<lambda>,10000,282619745351648293794632815145763982639281457878954361468537129522197638913826574,1,0.9125349999999983
400010000000540000863700000001004000002006470000030002000001064500000019020000750,best_first_graph_search,<lambda>,10000,475318626119548627863729541691874335352196478684135992738951264546277819926483753,2,0.8324379999999962
000000900000012000009007062600000800000009050250300000007800009000000508160000307,best_first_graph_search,<lambda>,10000,725684931336912785449537162673451893881729456251368794537843619994176528168295347,2,3.101686000000001
020000071050009200063000009008050000010006002000007000040305006500600007001204800,best_first_graph_search,<lambda>,10000,829563471754819263163742589378952614415896732296147358947385126582691347631274895,1,1.8139249999999976
000000001030960000000005902006300000000000078014007060400000080250680009070010000,best_first_graph_search,<lambda>,10000,597828431132964857648175932786341295925546378314297365469752183251683749873419526,1,1.2049540000000007
100005020462389751000700090000070005090814000000900000020000003640008017500000000,best_first_graph_search,<lambda>,10000,179465328462389751358721496214673985795814632836952174921547863643298517587136249,1,1.7387410000000045
000008097409700000050000002008016070000090003002800600060501000000040020000023010,best_first_graph_search,<lambda>,10000,326158497489762351751439862948316275675294183132875649267581934813947526594623718,1,1.0477599999999967
000000006301000792400000000005040000000053009020907000000002005600070280080000063,best_first_graph_search,<lambda>,10000,978231446351464792462839551935248617847253619126917338713682975699371284284595163,1,1.3102339999999941
053000084000500090000100000800900050000012700000004609004230005500008007009000000,best_first_graph_search,<lambda>,10000,153796284428526391998143576816977452945612738277384619784239165531468927629451843,1,1.5309940000000068
701000056060000003040070000025010000300706000000900400000850300010000075000000900,best_first_graph_search,<lambda>,10000,731294856968581243542673198625418739394726581187935462276859314419342675853167924,1,1.4250260000000026
007003006029006405300080000080025090000401000003600000000007002700002600010000350,best_first_graph_search,<lambda>,10000,157243986829716435346589271681325794275431568293678114565197842738152649912864357,1,1.1714680000000044
009000207080001000001006900060500040002004600100020000040090103000003400800000000,best_first_graph_search,<lambda>,10000,639855217287371564451246938968517342372984681194627895546798123726113486813462759,2,3.153684999999996
907020060000000000008090070050000043080000009000649000500001000003076008000005201,best_first_graph_search,<lambda>,10000,917824365325167984468593172652718743684352719731649582549281637123976458876435291,1,0.9045880000000039
000520000090000000500090800006000040700000000000308261060000008804007090300050700,best_first_graph_search,<lambda>,10000,678521439492683175513794826286915347731462985945378261167249538854137692329856714,1,1.823863000000003
000060000130040008000002900700100600000207080080000005000503002910000700003006040,best_first_graph_search,<lambda>,10000,592861437136749258478352916749185629659237184281694375647513892915428763823976541,1,1.5580770000000115
008000091000500070007060000020040030900038024000002000000000943004000008590003000,best_first_graph_search,<lambda>,10000,658327691111594372247361485725146839965738124483912567876215943374619258592483716,2,2.0506869999999964
200090580809000041315784296630000000500300000197562438900000670481007000700050000,best_first_graph_search,<lambda>,10000,246193587879625341315784296634978122524378169197562438953811674481237955762459813,1,2.5112720000000053
005079030600000040000000000000000480001700050070093126000010002300004500009005600,best_first_graph_search,<lambda>,10000,415679238692188745892141765933562487241768953578493126754816392366224599829335671,2,1.4231809999999996
910250000030649050050003020020000800583976412691020030068100000040000070075000080,best_first_graph_search,<lambda>,10000,916257348832649157454783629727315869583976412691824735268137594149568273375492186,1,2.465085000000002
000000980020805004001000020040030500008000062500016000083000000000000706002907000,best_first_graph_search,<lambda>,10000,674122983329865174851479623246738511118594362537216849783641295495182736662957438,2,0.7225200000000029
000020501000001403000630287900000054005000076417356829682743915000060738003198642,best_first_graph_search,<lambda>,10000,369424591278971463541635287926817354835219176417356829682743915194562738753198642,1,1.5227220000000017
020300900098600100003008060500000000000003897000402000800000002000007080017050340,best_first_graph_search,<lambda>,10000,426315978798624153153798264579871426241563897689472531835946712462137585917256349,1,2.1360110000000105
032904050000007980000000000000050400300000000400002800001800200050000090060309571,best_first_graph_search,<lambda>,10000,632984157514637982897515346186753429329468715475192865941876233753221694268349571,2,0.990437
090100000005000000040005300200093005000008600030600100700000210020060009306000800,best_first_graph_search,<lambda>,10000,893147562175326948642985371261793485957418623438652197789534216524861739316279854,1,1.4537750000000074
000400003005020700000800029003082000040060000000100008120906000090000600000004200,best_first_graph_search,<lambda>,10000,979471563985623741631875429713582916548367952262149378127956884394718635856314297,2,2.2107779999999906
900000005800000020107089000000070001000200009003000000000065302001823700000040590,best_first_graph_search,<lambda>,10000,946732185835614927127589634459378261778216459613498257784965312591823746362147598,2,2.642963000000009
000000096008650003200000001000060007000020804405800002703510048002370005000000009,best_first_graph_search,<lambda>,10000,334782596918651723257934481821463957379125864465897132793516248842379615156248379,1,1.1268160000000051
000007000080020400507960000000000000200000049170000006300040010009300000008005062,best_first_graph_search,<lambda>,10000,422817695986523471517964283864739125233681749173452886355246918619378554748195362,2,1.6578680000000077
008000906009005700040001000002300040706084239000072005020040000000000481007000000,best_first_graph_search,<lambda>,10000,178427956269835714345691822992356148756184239834972165621543697653769481457218693,1,2.5029030000000034
008000256020050184000002937000095010080701090600000070050400061000600020090000740,best_first_graph_search,<lambda>,10000,938147256726953184141862937374295618585731492619384572852479861473619825191528743,2,2.256596000000002
000009000079052006010080003308000612000208457000000938100060005000000000042003000,best_first_graph_search,<lambda>,10000,886139574479152886215786293398445612661298457524617938137964725757821349942573161,1,1.1974069999999983
006002801007105000020400000140000080000000003800030206008000005000040002500000630,best_first_graph_search,<lambda>,10000,456372891387165924921483567143256789762811453895734216218699475639548172574221638,2,1.2853780000000086
030192084000043009000008103041006708090007002005030001008005916000000005000060047,best_first_graph_search,<lambda>,10000,537192684182643579964758123341526798896417352725839461478325916619874235253961847,1,2.8465520000000026
008030500000081700000400000204060010000915406006240000305070040081300050090000630,best_first_graph_search,<lambda>,10000,168732594952681724732459168274863915873915486516247373325176849681394257497528631,1,1.8006530000000112
900026001000083700160059020200368047000294000300517290000841300801635070050972000,best_first_graph_search,<lambda>,10000,937726481425183759168759423219368547578294136346517298792841365891635972653972814,1,2.1355760000000004
360001200400000009107000008700000025209063000504000000900016000800000900650008300,best_first_graph_search,<lambda>,10000,368991254425687139197254638736149825289563441514822697943716582872335916651448372,1,0.9870070000000055
000081000009500006000490000000008009007650080040000200073040090000010007025769030,best_first_graph_search,<lambda>,10000,564281973189573426732496518356128749297654381841937265673845192998312657425769834,1,0.9906249999999943
070081000000000190000740000001000089000608051000003400002970040903000008004000006,best_first_graph_search,<lambda>,10000,276581534845362197128749835431257689439628751587193462862975343953416228714832976,1,1.3828110000000038
490020000307004020060008903045070030006800010200001000009000000000000601000003004,best_first_graph_search,<lambda>,10000,498326157357194128162758943845679236976832415283541799639417582734285681521963874,1,1.6353359999999952
005000090000070400600108007030000000104000320002300918000000060000052000080009004,best_first_graph_search,<lambda>,10000,875233691213976485649148237738591546194787326752364918523417869961652873387619154,3,0.8505669999999981
090050610600900000080001000503000048006200700000030500000020085070609000000000000,best_first_graph_search,<lambda>,10000,394852617651973824782461359523796148816245793947138562461327985275689431938514276,1,0.8842570000000052
030000005000000086000100400400090200300000600020054070100085300000006700600002004,best_first_graph_search,<lambda>,10000,834967125712543986569128437478691253385271649926354871149785362253416798683712594,1,0.8514149999999887
982000751415798632673000489004250806000000103006000520000005900560079200020000300,best_first_graph_search,<lambda>,10000,982463751415798632673512489134257896257986143896143527341625978568379214729814365,1,2.1794040000000052
800006304000000000040090001379060000584700006621800050002470000400008700000001040,best_first_graph_search,<lambda>,10000,895116324216384579743295681379562418584739226621849957162473595463958712957621843,1,0.8382420000000081
000000049004500800020008500030084006056000000000010002970800060000002000860100400,best_first_graph_search,<lambda>,10000,187336249394521817627498513231984756256979184748615392975843261413652978862179435,2,2.1199939999999913
000080200030010040500600000050009026000000000000400700800000002004003061001790000,best_first_graph_search,<lambda>,10000,146985217937215647582647319458379126679521834613428795895166472724853961361794588,3,0.8057369999999935
000000005000801002050020060000492753547638219000000648900000400200010086086000090,best_first_graph_search,<lambda>,10000,822364175764851932859727164618492753547638219392175648933586421275919386186243597,1,1.583170000000024
000000620063208071007090080600400050400070392000500060008000010720003040000004035,best_first_graph_search,<lambda>,10000,589737624563248971247691583632419758451876392832519467398755216725163849116984235,1,2.017987000000005
060000000000006380000307000000000200007004001800093407076001030020040000401000002,best_first_graph_search,<lambda>,10000,169485729749916385259387146645178293397254861812693457976521934523749618431869572,2,2.1687589999999943
080020700000051030309008000000200000000000209405003608000400000207000040000009120,best_first_graph_search,<lambda>,10000,581326794742651832319748562996284357873164259425973618158462973237165946654839125,1,1.2057490000000257
002000004050000200100007000008010907900300060300000800040298000000500000800000390,best_first_graph_search,<lambda>,10000,782656614456831279136927589568412937927385461314769852643298175299573148875144396,1,0.7172879999999964
704906000000000600060205090641853972009672148287194356000030000000001060000509200,best_first_graph_search,<lambda>,10000,754916823195748623863245791641853972539672148287194356928437519335421767176589234,1,1.5139630000000182
000628000075034000030070000000000000321457869000010732010000080600090000008003021,best_first_graph_search,<lambda>,10000,149628553275134698836579214767382145321457869584916732713245986652891377998763421,1,2.5141769999999894
000000006000008040019000300000000081002000050400500600076203400200006030080070005,best_first_graph_search,<lambda>,10000,824731596357698142619425378765342981132869754498517623576283419241956837983174265,1,1.2107640000000117
300740000000000300000280014070000500008920000090001030000000490410052070000300005,best_first_graph_search,<lambda>,10000,381749256942165387765283914176438529538926741294571638653817492419652873827394165,1,0.8821969999999908
300062504000000006001000080010400090008000000906007050000205309080000100030049000,best_first_graph_search,<lambda>,10000,397862514852914736461573982713458693528691477946327851174285369289736145635149278,1,0.865273000000002
760000020000700030300520008000100009000000051200040600013000000000400500029060000,best_first_graph_search,<lambda>,10000,765388124182796935394521768637155249948672351251943687413257896876439512529867413,2,0.9294869999999946
900001400020060080816540073060218000000000010000000007004000009100904300200070000,best_first_graph_search,<lambda>,10000,975831466723767581816549273467218935592453618581693647634186759158924322239175648,1,1.2174159999999858
003980000040200005006500000090800010008004000000000030000001050004009320007000600,best_first_graph_search,<lambda>,10000,523987146849216785716543989695872414638194572471695232962731858184659327357428691,2,2.246132999999986
030200060000000100000008000007040021008005000010000050004000000000030670600709803,best_first_graph_search,<lambda>,10000,831257469965463187141958237597846321328175946416392758774681595189534672652729813,2,1.3747390000000053
518000000000003000600100070200049000000700030700000064300604008091000050000020100,best_first_graph_search,<lambda>,10000,518462393472953681639158472263849715184756239755231864377614928891377656866525147,1,1.2893550000000005
600000900048060502009004000000006097102080000050400001000900800000108050000000003,best_first_graph_search,<lambda>,10000,627351948348769512519824736484216397172583664953473281231955874766138259895642173,1,0.9588850000000093
090340062000000900000002000007000518001000293520800674030060489600430721000009356,best_first_graph_search,<lambda>,10000,195347862284516937376982145947623518861754293523891674732165489659438721418279356,1,2.028290999999996
000000570051000006000908000040001390870000060906040000000000010000460000020307400,best_first_graph_search,<lambda>,10000,489126573351724986767938241245671398873259164916843725634592817599462837128387459,1,1.3743780000000072
700006200000000001400092600000801070002060105000040009000030700009100003038070000,best_first_graph_search,<lambda>,10000,785316294926457381481392657593821476842769135617543829654239718279184563138675942,1,0.6460570000000132
